Salchicha CAMPOFRÍO, Baviera, sobre 260g;1,87;311
Salchicha CAMPOFRÍO, Parmesana, sobre 200g;0,92;153
Salchicha CAMPOFRÍO Sanissimo, Wiener, sobre 200g;1,22;203
Salchicha MORTE, Cocktail con bacón, sobre 160g;3,16;526
Salchicha OSCAR MAYER, de pollo, sobre 225g;1,04;173
Salchicha WUDY, de pollo, sobre 250g;1,09;181
Salchicha WUDY, pollo y queso, sobre 150g;0,78;130
Salchichas CAMPOFRÍO, Pavofrío, sobre 200g;1,16;193
Salchicha CAMPOFRÍO, Bratwurst, pack 3 unid.;1,87;311
Salchicha con Jamón CONSUMER, pack 200g;0,49;82
Salchicha OSCAR MAYER, Bratwurst, sobre 350g;1,97;328
Salchichas OSCAR MAYER, jumbo, sobre 350g;1,52;253
Bacalao, 1,20kg (8,23 euros/kg);9,876;1643
Besugo, 1,10kg (33,09 euros/kg);36,399;6056
Brecas, 1,00kg (20,22 euros/kg);20,22;3364
Cabra de Roca 500g (11,48 euros/kg);5,74;955
Dorada de Ración, aprox. 500g (6,31 euros/kg);3,155;525
Dorada Salvaje, 1,50kg (19,95 euros/kg);29,925;4979
Filete de Halibut, 500g (10,16 euros/kg);5,08;845
Filetes de Bacalao Desalado, 350g (9,55 euros/kg);3,343;556
Gallo de Ración, 700g (12,08 euros/kg);8,456;1407
Huesos de Rape 500g (6 euros/kg);3;499
Lenguado, 500g (21,06 euros/kg);10,53;1752
